Geolocation_Key,Time_Key,Goal_Key,Target_Key,value
7,711,204,424,65.98
7,712,204,424,68.29
7,713,204,424,69.34
7,714,204,424,69.87
7,715,204,424,69.37
7,716,204,424,75.58
7,717,204,424,76.69
7,718,204,424,78.09
7,719,204,424,83.01
7,720,204,424,84.29
7,721,204,424,80.833
7,722,204,424,
7,723,204,424,
10,701,204,424,56.61
10,702,204,424,51.54
10,703,204,424,49.23
10,704,204,424,49.77
10,705,204,424,49.62
10,706,204,424,46.95
10,707,204,424,48.22
10,708,204,424,50.24
10,709,204,424,49.65
10,710,204,424,49.21
10,711,204,424,51.57
10,712,204,424,54.38
10,713,204,424,55.32
10,714,204,424,58.62
10,715,204,424,58.68
10,716,204,424,65.61
10,717,204,424,66.68
10,718,204,424,70.27
10,719,204,424,78.71
10,720,204,424,78.18
10,721,204,424,70.953
10,722,204,424,
10,723,204,424,
11,701,204,424,56.4
11,702,204,424,53.14
11,703,204,424,51.92
11,704,204,424,52.19
11,705,204,424,51.07
11,706,204,424,49
11,707,204,424,47.08
11,708,204,424,48.59
11,709,204,424,49.01
11,710,204,424,50.54
11,711,204,424,55.47
11,712,204,424,56.39
11,713,204,424,57
11,714,204,424,59.16
11,715,204,424,59.07
11,716,204,424,68.44
11,717,204,424,68.02
11,718,204,424,70.54
11,719,204,424,80.14
11,720,204,424,81.63
11,721,204,424,84.6275
11,722,204,424,
11,723,204,424,
12,701,204,424,60.61
12,702,204,424,51.08
12,703,204,424,52.2
12,704,204,424,52.89
12,705,204,424,52.03
12,706,204,424,48.94
12,707,204,424,48.26
12,708,204,424,48.62
12,709,204,424,50.13
12,710,204,424,50.37
12,711,204,424,55.2
12,712,204,424,54.77
12,713,204,424,57.65
12,714,204,424,61.44
12,715,204,424,60.81
12,716,204,424,69.02
12,717,204,424,69.9
12,718,204,424,71.91
12,719,204,424,82.27
12,720,204,424,83.37
12,721,204,424,80.7059
12,722,204,424,
12,723,204,424,
13,701,204,424,42.22
13,702,204,424,43.41
13,703,204,424,42.9
13,704,204,424,43.36
13,705,204,424,44.16
13,706,204,424,43.79
13,707,204,424,43.43
13,708,204,424,45.31
13,709,204,424,46.85
13,710,204,424,46.3
13,711,204,424,50.11
13,712,204,424,51.39
13,713,204,424,53.26
13,714,204,424,56.79
13,715,204,424,56.18
13,716,204,424,63.63
13,717,204,424,64.9
13,718,204,424,68.24
13,719,204,424,74.33
13,720,204,424,75.5
13,721,204,424,77.576
13,722,204,424,
13,723,204,424,
9,701,204,424,57.11
9,702,204,424,40.13
9,703,204,424,44.79
9,704,204,424,44.04
9,705,204,424,45.13
9,706,204,424,42.16
9,707,204,424,42.74
9,708,204,424,45.22
9,709,204,424,44.4
9,710,204,424,43.62
9,711,204,424,45.36
9,712,204,424,45.21
9,713,204,424,45.46
9,714,204,424,46.55
9,715,204,424,46.69
9,716,204,424,55.14
9,717,204,424,55.73
9,718,204,424,59.49
9,719,204,424,68.79
9,720,204,424,69.13
9,721,204,424,70.346
9,722,204,424,
9,723,204,424,
14,701,204,424,52.88
14,702,204,424,46.57
14,703,204,424,48.38
14,704,204,424,48.42
14,705,204,424,46.66
14,706,204,424,45.78
14,707,204,424,45.85
14,708,204,424,46.59
14,709,204,424,45.78
14,710,204,424,45.47
14,711,204,424,49.75
14,712,204,424,50.05
14,713,204,424,51.76
14,714,204,424,50.8
14,715,204,424,51.56
14,716,204,424,57.9
14,717,204,424,59.33
14,718,204,424,62.55
14,719,204,424,70.83
14,720,204,424,72.47
14,721,204,424,72.9159
14,722,204,424,
14,723,204,424,
15,701,204,424,54.01
15,702,204,424,44.33
15,703,204,424,47.55
15,704,204,424,46.92
15,705,204,424,46.1
15,706,204,424,43.64
15,707,204,424,42.84
15,708,204,424,44.38
15,709,204,424,43.89
15,710,204,424,49.61
15,711,204,424,50.3
15,712,204,424,50.74
15,713,204,424,51.4
15,714,204,424,53.81
15,715,204,424,53.82
15,716,204,424,61.79
15,717,204,424,64.16
15,718,204,424,68.28
15,719,204,424,77.01
15,720,204,424,80.15
15,721,204,424,76.6309
15,722,204,424,
15,723,204,424,
16,701,204,424,66.41
16,702,204,424,45.97
16,703,204,424,47.97
16,704,204,424,48.37
16,705,204,424,49.55
16,706,204,424,46.06
16,707,204,424,43.84
16,708,204,424,45.43
16,709,204,424,46.47
16,710,204,424,46.05
16,711,204,424,48.77
16,712,204,424,48.51
16,713,204,424,49.36
16,714,204,424,50.45
16,715,204,424,51.82
16,716,204,424,58.48
16,717,204,424,58.99
16,718,204,424,62.26
16,719,204,424,69.11
16,720,204,424,70.7
16,721,204,424,72.5433
16,722,204,424,
16,723,204,424,
2,701,204,424,66.14
2,702,204,424,54.08
2,703,204,424,52.05
2,704,204,424,55.02
2,705,204,424,53.87
2,706,204,424,50.96
2,707,204,424,52.74
2,708,204,424,50.71
2,709,204,424,51.74
2,710,204,424,58
2,711,204,424,57.03
2,712,204,424,61.47
2,713,204,424,63.61
2,714,204,424,65.3
2,715,204,424,65.74
2,716,204,424,70.56
2,717,204,424,72.37
2,718,204,424,74.31
2,719,204,424,79.4
2,720,204,424,80.81
2,721,204,424,81.866
2,722,204,424,
2,723,204,424,
3,701,204,420,79.5
3,702,204,420,73.86
3,703,204,420,77.94
3,704,204,420,78.77
3,705,204,420,79.06
3,706,204,420,77.28
3,707,204,420,77.3
3,708,204,420,82.18
3,709,204,420,82.15
3,710,204,420,79.74
3,711,204,420,83.2
3,712,204,420,83.41
3,713,204,420,85.14
3,714,204,420,85.54
3,715,204,420,83.49
3,716,204,420,88.99
3,717,204,420,88.33
